ID,Description,Amount,Date,Category,Type,GST Amount
564164,Flight Ticket,-42546,"04/01/2025, 03:29:48 PM",Employee Benefits,expense,7658.28
510652,Laptop Purchase,-61519,"01/24/2025, 03:34:43 PM",Travel & Transportation,expense,11073.42
461311,Taxi Fare,-76962,"02/10/2025, 10:53:15 AM",Professional Services,expense,13853.16
654195,Taxi Fare,-57685,"01/14/2025, 06:10:50 AM",Professional Services,expense,10383.3
350215,Client Payment,141311,"03/24/2025, 04:09:17 PM",Sales Revenue,income,0.0
422954,Workshop Income,29778,"03/06/2025, 10:44:44 AM",Consulting Income,income,0.0
650484,Employee Bonus,-79531,"01/29/2025, 04:53:15 PM",Travel & Transportation,expense,14315.58
795558,Taxi Fare,-41383,"03/12/2025, 08:32:31 AM",Travel & Transportation,expense,7448.94
375409,Service Fee,63878,"04/02/2025, 12:33:40 PM",Consulting Income,income,0.0
657835,Product Sale,193523,"01/09/2025, 10:06:34 PM",Consulting Income,income,0.0
406977,Laptop Purchase,-55430,"01/22/2025, 09:27:57 PM",Electronics & IT Equipment,expense,9977.4
631010,Consulting Payment,108085,"01/09/2025, 11:11:26 PM",Consulting Income,income,0.0
207706,Consulting Payment,168918,"03/15/2025, 01:17:38 AM",Sales Revenue,income,0.0
753657,Service Fee,71185,"03/08/2025, 08:39:36 AM",Consulting Income,income,0.0
387781,Electricity Bill,-27103,"03/21/2025, 05:24:51 AM",Rent & Utilities,expense,4878.54
224930,Printer Ink,-52703,"04/17/2025, 11:38:20 PM",Office Expenses,expense,9486.54
719199,Electricity Bill,-43058,"03/03/2025, 06:15:38 PM",Travel & Transportation,expense,7750.44
544192,Software Subscription,-25832,"03/17/2025, 12:05:16 PM",Office Expenses,expense,4649.76
483884,Software Subscription,-37012,"01/03/2025, 10:34:31 AM",Professional Services,expense,6662.16
622857,Taxi Fare,-58641,"02/12/2025, 03:47:41 AM",Travel & Transportation,expense,10555.38
364633,Consulting Payment,52245,"02/18/2025, 06:17:00 AM",Freelancing Income,income,0.0
589528,Product Sale,93675,"04/17/2025, 12:35:58 AM",Non-Taxable,income,0.0
912761,Employee Bonus,-54781,"04/26/2025, 09:19:25 PM",Travel & Transportation,expense,9860.58
155092,Workshop Income,192174,"01/28/2025, 08:07:30 PM",Non-Taxable,income,0.0
885281,Office Chair,-24248,"04/17/2025, 03:21:11 PM",Travel & Transportation,expense,4364.64
315123,Internet Bill,-77867,"04/21/2025, 03:34:20 AM",Professional Services,expense,14016.06
823301,Printer Ink,-31241,"01/23/2025, 09:23:46 PM",Rent & Utilities,expense,5623.38
